hs_code,name_en,name_ar,keywords
080410,Dates fresh or dried,تمور طازجة أو مجففة,"تمر,تمور,بلح,رطب,عجوة,سكري,date,dates"
080420,Figs fresh or dried,تين طازج أو مجفف,"تين,fig,figs"
080430,Pineapples,أناناس,"اناناس,أناناس,pineapple"
080440,Avocados,أفوكادو,"افوكادو,أفوكادو,avocado"
080450,Guavas mangoes mangosteens,جوافة ومانجو,"جوافة,مانجو,مانغو,guava,mango,mangosteen"
080610,Grapes fresh,عنب طازج,"عنب,grape,grapes,fresh grapes"
080620,Grapes dried (raisins),زبيب,"زبيب,raisin,raisins,dried grapes"
080711,Watermelons,بطيخ,"بطيخ,حبحب,رقي,watermelon"
080719,Melons,شمام,"شمام,بطيخ اصفر,melon,melons,cantaloupe"
080810,Apples fresh,تفاح طازج,"تفاح,apple,apples"
080830,Pears,كمثرى,"كمثرى,اجاص,إجاص,pear,pears"
080910,Apricots,مشمش,"مشمش,apricot,apricots"
080921,Sour cherries,كرز حامض,"كرز حامض,sour cherry"
080929,Cherries,كرز,"كرز,cherry,cherries"
080930,Peaches and nectarines,خوخ ونكتارين,"خوخ,دراق,نكتارين,peach,peaches,nectarine"
080940,Plums and sloes,برقوق,"برقوق,خوخ مجفف,plum,plums,sloes"
081010,Strawberries,فراولة,"فراولة,فريز,strawberry,strawberries"
081050,Kiwifruit,كيوي,"كيوي,kiwi,kiwifruit"
081090,Other fresh fruit,فواكه طازجة أخرى,"رمان,تين شوكي,pomegranate,fresh fruit"
081310,Apricots dried,مشمش مجفف,"مشمش مجفف,قمر الدين,dried apricot,dried apricots"
081320,Prunes dried,برقوق مجفف,"برقوق مجفف,prune,prunes"
081340,Other dried fruit,فواكه مجففة أخرى,"فواكه مجففة,dried fruit,mixed dried fruit"
080211,Almonds in shell,لوز بقشره,"لوز,almond,almonds in shell"
080212,Almonds shelled,لوز مقشر,"لوز مقشر,shelled almonds,almond"
080221,Hazelnuts in shell,بندق بقشره,"بندق,hazelnut,hazelnuts"
080231,Walnuts in shell,جوز بقشره,"جوز,عين جمل,walnut,walnuts"
080250,Pistachios,فستق,"فستق,pistachio,pistachios"
